question;chunk_id;section_name;chapter_name
Какую должность занимает Максим Каммерер в организации, где работает Экселенц?;037c58a8f1011d66e00e2488bd45380a;СОТРУДНИК КОМКОНА–2 МАКСИМ КАММЕРЕР;1 июня 78–го года
С какой Полярной станции вернулся Лев Вячеславович Абалкин на Землю?;037c58a8f1011d66e00e2488bd45380a;СОТРУДНИК КОМКОНА–2 МАКСИМ КАММЕРЕР;1 июня 78–го года
"Какой предмет, первоначально названный на хонтийском языке как ""заккурапия"", передал Экселенц Каммереру?";037c58a8f1011d66e00e2488bd45380a;СОТРУДНИК КОМКОНА–2 МАКСИМ КАММЕРЕР;1 июня 78–го года
Кому Экселенц приказал переподчинить всю группу Каммерера?;037c58a8f1011d66e00e2488bd45380a;СОТРУДНИК КОМКОНА–2 МАКСИМ КАММЕРЕР;1 июня 78–го года
Какое обозначение, помимо имени и фамилии, было вытиснено на папке, переданной ЛЕВУ ВЯЧЕСЛАВОВИЧУ АБАЛКИНУ?;9a490f7a02f67db0fa4bbb9710b1e9bb;Я принял папку. С такой я...;1 июня 78–го года
Сколько времени, по словам Экселенца, отведено на выполнение задания, связанного с ЛЕВОМ АБАЛКИНОМ?;9a490f7a02f67db0fa4bbb9710b1e9bb;Я принял папку. С такой я...;1 июня 78–го года
На какой планете, согласно рассказу Экселенца, Сикорски по прозвищу Странник преследовал Мак?;9a490f7a02f67db0fa4bbb9710b1e9bb;Я принял папку. С такой я...;1 июня 78–го года
Что Экселенц сравнивал со зрачками, пристально наблюдая за героем?;9a490f7a02f67db0fa4bbb9710b1e9bb;Я принял папку. С такой я...;1 июня 78–го года
Какую реакцию вызвала переподчиненность Клавдии у Андрея и Сандро?;6d4f7864391ce37348f5806630431769;КОЕ–ЧТО О ЛЬВЕ АБАЛКИНЕ ПРОГРЕССОРЕ;1 июня 78–го года
Сколько сообщений накопилось в регистраторе Андрея за время его визита к Экселенцу?;6d4f7864391ce37348f5806630431769;КОЕ–ЧТО О ЛЬВЕ АБАЛКИНЕ ПРОГРЕССОРЕ;1 июня 78–го года
Каким образом было скреплено содержимое папки, переданной Львом Абалкиным?;6d4f7864391ce37348f5806630431769;КОЕ–ЧТО О ЛЬВЕ АБАЛКИНЕ ПРОГРЕССОРЕ;1 июня 78–го года
Какова была цель вылета Тристана Лоффенфельда с базы Саракш–2?;8928ae3b09dd062ac212cde719c4bf4e;;01.06. — 13.01. СЛОН — СТРАННИКУ.
Что стало известно из информации, полученной Командиром базы Саракш–2 касательно Гурона Абалкина?;8928ae3b09dd062ac212cde719c4bf4e;;01.06. — 13.01. СЛОН — СТРАННИКУ.
На каком рейсе направлялся Гурон на Землю и какие остановки были по его маршруту?;8928ae3b09dd062ac212cde719c4bf4e;;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какой предмет транспорта использовал ТРИСТАН для прибытия на базу ГУРОН?;8928ae3b09dd062ac212cde719c4bf4e;;01.06. — 13.01. СЛОН — СТРАННИКУ.
"Какое умение Прогрессоров, по мнению рассказчика, вызывает у других ""опасливый восторг"" и ""брезгливую настороженность""?";f758c02debf2f9a5998f5e5c00a7cd33;По–моему в этом сама...;01.06. — 13.01. СЛОН — СТРАННИКУ.
В каком качестве Экселенц, в те времена известный как Странник, участвовал в экспедиции на Голубую Змею в Крепость?;f758c02debf2f9a5998f5e5c00a7cd33;По–моему в этом сама...;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какие профессиональные склонности и показания были указаны в документах Льва Вячеславовича Абалкина?;f758c02debf2f9a5998f5e5c00a7cd33;По–моему в этом сама...;01.06. — 13.01. СЛОН — СТРАННИКУ.
На какой планете Абалкин впервые получил опыт самостоятельного внедрения, работая младшим бухгалтером службы охотничьего собаководства?;f758c02debf2f9a5998f5e5c00a7cd33;По–моему в этом сама...;01.06. — 13.01. СЛОН — СТРАННИКУ.
На планете Саракш Лев Абалкин проходил внедрение в какую организацию?;d564622644bfdeca7230a2430ec264cc;Ноябрь 66–го сентябрь...;01.06. — 13.01. СЛОН — СТРАННИКУ.
Кто из наблюдающих врачей вел наблюдение за Львом Абалкиным с 38-го по 53-й период?;d564622644bfdeca7230a2430ec264cc;Ноябрь 66–го сентябрь...;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какое учебное заведение, расположенное в Европе, является последним зарегистрированным адресом Льва Абалкина на Земле?;d564622644bfdeca7230a2430ec264cc;Ноябрь 66–го сентябрь...;01.06. — 13.01. СЛОН — СТРАННИКУ.
В каком отряде Береговой Охраны служил Лев Абалкин на планете Саракш?;d564622644bfdeca7230a2430ec264cc;Ноябрь 66–го сентябрь...;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какую роль Абалкин играл в операции «Мертвый мир»?;ea57e95ddf611a0af4daa623e5630a4d;ВКРАТЦЕ О СОДЕРЖАНИИ ПАПКИ;1 июня 78–го года
Какие изменения происходили с жителями планеты Надежда, согласно отчету Абалкина?;ea57e95ddf611a0af4daa623e5630a4d;ВКРАТЦЕ О СОДЕРЖАНИИ ПАПКИ;1 июня 78–го года
В каком месте Абалкин с Щекном осуществляли поиск объекта в рамках операции «Мертвый мир»?;ea57e95ddf611a0af4daa623e5630a4d;ВКРАТЦЕ О СОДЕРЖАНИИ ПАПКИ;1 июня 78–го года
Какие еще расы, помимо землян, принимали участие в работе с Абалкиным, и где он занимался псарским делом?;ea57e95ddf611a0af4daa623e5630a4d;ВКРАТЦЕ О СОДЕРЖАНИИ ПАПКИ;1 июня 78–го года
В каком году был составлен отчет Льва Абалкина об операции на Гиганде?;792ee942969708533028694163c296ec;И был в папке еще один...;1 июня 78–го года
Какую должность занимал Корней Яшмаа, согласно отчетам Абалкина?;792ee942969708533028694163c296ec;И был в папке еще один...;1 июня 78–го года
