question;chunk_id;section_name;chapter_name
Какое звание носит Максим Каммерер, к которому вызвал Экселенц?;037c58a8f1011d66e00e2488bd45380a;СОТРУДНИК КОМКОНА–2 МАКСИМ КАММЕРЕР;1 июня 78–го года
С какой организации, находящейся на Земле, отбыл Лев Вячеславович Абалкин незадолго до начала событий?;037c58a8f1011d66e00e2488bd45380a;СОТРУДНИК КОМКОНА–2 МАКСИМ КАММЕРЕР;1 июня 78–го года
Какой предмет извлек Экселенц из ящика стола, чтобы передать информацию о связях Абалкина?;037c58a8f1011d66e00e2488bd45380a;СОТРУДНИК КОМКОНА–2 МАКСИМ КАММЕРЕР;1 июня 78–го года
Какую инструкцию дал Экселенц Каммереру относительно взаимодействия с группой Каммерера в ходе расследования дела Абалкина?;037c58a8f1011d66e00e2488bd45380a;СОТРУДНИК КОМКОНА–2 МАКСИМ КАММЕРЕР;1 июня 78–го года
На папке, переданной главному герою, было вытиснено имя и номер: «ЛЕВ ВЯЧЕСЛАВОВИЧ АБАЛКИН» «07». Что это за папка?;9a490f7a02f67db0fa4bbb9710b1e9bb;Я принял папку. С такой я...;1 июня 78–го года
Экселенц запретил главному герою использовать определенную технологию для изучения материалов. Как она называется?;9a490f7a02f67db0fa4bbb9710b1e9bb;Я принял папку. С такой я...;1 июня 78–го года
Экселенц упомянул планету, где Сикорски по прозвищу Странник преследовал Мак. Как называется эта планета?;9a490f7a02f67db0fa4bbb9710b1e9bb;Я принял папку. С такой я...;1 июня 78–го года
Сколько времени дано главному герою на выполнение задания, связанного с ЛЕВ ВЯЧЕСЛАВОВИЧ АБАЛКИНОМ?;9a490f7a02f67db0fa4bbb9710b1e9bb;Я принял папку. С такой я...;1 июня 78–го года
Какую реакцию вызвали у Андрея и Сандро действия главного героя в отношении Клавдии?;6d4f7864391ce37348f5806630431769;КОЕ–ЧТО О ЛЬВЕ АБАЛКИНЕ ПРОГРЕССОРЕ;1 июня 78–го года
Сколько сообщений накопилось на регистраторе за время визита главного героя к Экселенцу?;6d4f7864391ce37348f5806630431769;КОЕ–ЧТО О ЛЬВЕ АБАЛКИНЕ ПРОГРЕССОРЕ;1 июня 78–го года
Что представляла собой папка, переданная Львом Абалкиным, и сколько листов содержалось внутри?;6d4f7864391ce37348f5806630431769;КОЕ–ЧТО О ЛЬВЕ АБАЛКИНЕ ПРОГРЕССОРЕ;1 июня 78–го года
Какую информацию о Тристане Лоффенфельде передал командир базы Саракш–2?;8928ae3b09dd062ac212cde719c4bf4e;;01.06. — 13.01. СЛОН — СТРАННИКУ.
На каком боте прибыл Тристан на базу Гурон?;8928ae3b09dd062ac212cde719c4bf4e;;01.06. — 13.01. СЛОН — СТРАННИКУ.
В связи с чем Гурон был вынужден раскрыть себя?;8928ae3b09dd062ac212cde719c4bf4e;;01.06. — 13.01. СЛОН — СТРАННИКУ.
Куда направляется Гурон по его настоятельной просьбе, и на каком рейсе?;8928ae3b09dd062ac212cde719c4bf4e;;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какую должность занимал Экселенц в 58-м году, когда он отправил группу специалистов, включая Абалкина, на планету Саракш?;f758c02debf2f9a5998f5e5c00a7cd33;По–моему в этом сама...;01.06. — 13.01. СЛОН — СТРАННИКУ.
В каком учебном заведении получил образование Абалкин Лев Вячеславович, согласно данным из его личного дела?;f758c02debf2f9a5998f5e5c00a7cd33;По–моему в этом сама...;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какие профессиональные склонности были отмечены в анкете Абалкина, помимо зоопсихологии?;f758c02debf2f9a5998f5e5c00a7cd33;По–моему в этом сама...;01.06. — 13.01. СЛОН — СТРАННИКУ.
С какой целью Экселенц проявляет интерес к Тристану Лоффенфельду, и кого он привлек к розыску информации о нем?;f758c02debf2f9a5998f5e5c00a7cd33;По–моему в этом сама...;01.06. — 13.01. СЛОН — СТРАННИКУ.
На какой планете проходили курсы переподготовки Лев Абалкин в период с ноября 66–го по сентябрь 67–го?;d564622644bfdeca7230a2430ec264cc;Ноябрь 66–го сентябрь...;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какие должности занимал Лев Абалкин на планете Саракш, согласно представленным сведениям?;d564622644bfdeca7230a2430ec264cc;Ноябрь 66–го сентябрь...;01.06. — 13.01. СЛОН — СТРАННИКУ.
Кто из наблюдающих врачей осуществлял наблюдение за Львом Абалкиным в период с 38–го по 53–й?;d564622644bfdeca7230a2430ec264cc;Ноябрь 66–го сентябрь...;01.06. — 13.01. СЛОН — СТРАННИКУ.
В каком учебном заведении, согласно данным из листа №1, Абалкин Лев проходил обучение на Земле?;d564622644bfdeca7230a2430ec264cc;Ноябрь 66–го сентябрь...;01.06. — 13.01. СЛОН — СТРАННИКУ.
Какую операцию описывает отчет, написанный рукой Абалкина?;ea57e95ddf611a0af4daa623e5630a4d;ВКРАТЦЕ О СОДЕРЖАНИИ ПАПКИ;1 июня 78–го года
Какие изменения происходили с жителями планеты Надежда, согласно отчету Абалкина?;ea57e95ddf611a0af4daa623e5630a4d;ВКРАТЦЕ О СОДЕРЖАНИИ ПАПКИ;1 июня 78–го года
